                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3483,                0.78119,                 1.0412,                  0.778,                0.55032,                0.60539,                0.33309,                 1.3269,                0.71184,                 1.0291,               0.008878,               0.008878,               0.008878
                     37,                 1.3439,                0.77835,                 1.0396,                0.79276,                0.54294,                0.60252,                0.32959,                  1.323,                0.70981,                 1.0289,               0.008845,               0.008845,               0.008845
                     38,                 1.3436,                0.77614,                 1.0399,                0.77874,                 0.5684,                0.60759,                 0.3367,                 1.3166,                0.70501,                 1.0285,               0.008812,               0.008812,               0.008812
                     39,                 1.3436,                0.77488,                 1.0408,                0.79443,                0.55028,                0.60653,                0.33426,                 1.3176,                0.70275,                 1.0258,               0.008779,               0.008779,               0.008779
                     40,                 1.3396,                0.77154,                 1.0368,                0.78131,                 0.5612,                0.60825,                0.33756,                 1.3144,                0.70179,                 1.0273,               0.008746,               0.008746,               0.008746
                     41,                 1.3364,                0.76709,                 1.0365,                0.80643,                0.56252,                0.61278,                0.33826,                 1.3104,                0.69825,                 1.0257,               0.008713,               0.008713,               0.008713
                     42,                 1.3382,                0.77065,                 1.0381,                0.80952,                 0.5565,                0.63047,                0.34314,                 1.3106,                 0.6944,                 1.0225,                0.00868,                0.00868,                0.00868
                     43,                  1.334,                0.76619,                 1.0344,                0.77565,                 0.5723,                0.65659,                0.35751,                 1.3136,                0.69197,                 1.0243,               0.008647,               0.008647,               0.008647
                     44,                 1.3322,                0.76233,                 1.0325,                0.79604,                0.56968,                 0.6324,                0.35033,                 1.3047,                0.68898,                 1.0219,               0.008614,               0.008614,               0.008614
                     45,                 1.3288,                0.76116,                 1.0366,                  0.801,                0.56419,                0.62288,                 0.3479,                 1.3044,                0.69157,                 1.0224,               0.008581,               0.008581,               0.008581
                     46,                 1.3234,                0.75658,                 1.0317,                0.78895,                 0.5589,                0.62669,                0.34753,                 1.3012,                0.69064,                 1.0187,               0.008548,               0.008548,               0.008548
                     47,                 1.3245,                0.75657,                 1.0304,                0.79668,                0.56845,                0.62633,                0.34915,                  1.301,                0.68431,                  1.017,               0.008515,               0.008515,               0.008515
                     48,                 1.3121,                0.74819,                 1.0269,                0.79309,                0.56576,                0.63425,                0.34989,                 1.2984,                0.68233,                 1.0164,               0.008482,               0.008482,               0.008482
                     49,                 1.3206,                0.75359,                 1.0312,                0.80336,                 0.5601,                0.63624,                0.34921,                 1.2946,                0.67874,                 1.0179,               0.008449,               0.008449,               0.008449
                     50,                 1.3135,                0.75099,                 1.0287,                0.80394,                 0.5686,                0.62741,                0.35185,                 1.2926,                0.68006,                 1.0158,               0.008416,               0.008416,               0.008416
                     51,                 1.3149,                0.75049,                 1.0303,                0.79151,                0.56751,                0.63309,                0.35212,                 1.2933,                0.68063,                 1.0164,               0.008383,               0.008383,               0.008383
                     52,                 1.3138,                0.74595,                 1.0268,                 0.7725,                0.58072,                0.63419,                0.35391,                 1.2907,                 0.6753,                  1.015,                0.00835,                0.00835,                0.00835
                     53,                 1.3152,                0.74765,                 1.0278,                0.79673,                0.57684,                0.63661,                 0.3537,                 1.2887,                0.66936,                 1.0135,               0.008317,               0.008317,               0.008317
                     54,                 1.3077,                0.74502,                 1.0277,                0.82128,                0.57066,                0.63929,                0.35573,                 1.2859,                0.66939,                 1.0143,               0.008284,               0.008284,               0.008284
                     55,                 1.3117,                0.74344,                 1.0246,                0.80553,                0.57702,                0.63777,                0.35824,                 1.2829,                0.66666,                 1.0125,               0.008251,               0.008251,               0.008251
                     56,                 1.3075,                0.73898,                 1.0236,                 0.8201,                0.57365,                0.63816,                0.36109,                 1.2834,                0.66543,                 1.0119,               0.008218,               0.008218,               0.008218
                     57,                 1.3072,                0.73938,                 1.0225,                 0.7935,                0.59244,                0.63898,                0.36011,                 1.2834,                0.66535,                 1.0122,               0.008185,               0.008185,               0.008185
                     58,                 1.3066,                0.73862,                 1.0243,                0.80528,                0.58892,                0.63178,                0.36021,                 1.2794,                0.66305,                 1.0113,               0.008152,               0.008152,               0.008152
                     59,                 1.3028,                 0.7387,                 1.0223,                0.80461,                0.58852,                0.64345,                0.36036,                 1.2826,                0.66441,                 1.0113,               0.008119,               0.008119,               0.008119
                     60,                 1.2985,                0.73174,                 1.0226,                0.81896,                0.57052,                0.64078,                0.36171,                 1.2795,                0.66372,                 1.0122,               0.008086,               0.008086,               0.008086
                     61,                 1.2948,                0.73215,                 1.0195,                0.80863,                0.57963,                 0.6407,                0.36306,                 1.2778,                0.66056,                 1.0116,               0.008053,               0.008053,               0.008053
                     62,                 1.3004,                0.73307,                 1.0228,                 0.8047,                0.58992,                0.64204,                0.36642,                 1.2752,                0.65993,                 1.0104,                0.00802,                0.00802,                0.00802
                     63,                 1.2945,                0.73069,                 1.0199,                0.81034,                0.59733,                0.64523,                 0.3672,                 1.2725,                0.65701,                 1.0096,               0.007987,               0.007987,               0.007987
